epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,131.13,1.21242,8.62464,0.56846,0.81561,0.02764,13.0629,0.92625,0.95868,0.96253,0.64076,0.1196,0.10511,0.01862,0.00236,1.15819,6.93911,0.5537,0.44609,0.04116,0,0.000665094,0.000665094,0.000665094
2,254.53,1.28379,7.38789,0.44733,0.73527,0.02931,9.004,0.91243,0.95244,0.95857,0.59131,0.23922,0.202,0.07111,0.01027,1.35691,6.14437,0.51675,0.49924,0.04867,0,0.00126584,0.00126584,0.00126584
3,377.256,1.32208,6.98945,0.41302,0.77121,0.03029,8.44778,0.90716,0.92484,0.9489,0.59805,0.22987,0.20552,0.06317,0.00934,1.30989,6.0069,0.4776,0.53915,0.04819,0,0.00180058,0.00180058,0.00180058
4,499.049,1.27964,6.69711,0.39326,0.74735,0.02927,8.1693,0.9298,0.96438,0.96951,0.66226,0.46962,0.42396,0.29832,0.05434,1.14141,5.18815,0.39304,0.44616,0.0398,0,0.001703,0.001703,0.001703
5,621.473,1.23575,6.31991,0.37702,0.72229,0.02801,7.69772,0.93836,0.95126,0.9757,0.67286,0.53956,0.53376,0.39596,0.08336,1.1866,4.66414,0.41668,0.446,0.04251,0,0.001604,0.001604,0.001604
6,745.719,1.17143,5.99093,0.36606,0.69468,0.0261,7.21831,0.94543,0.95635,0.9744,0.71164,0.58573,0.57546,0.46254,0.1125,0.99607,4.67411,0.40285,0.3865,0.03403,0,0.001505,0.001505,0.001505
7,870.159,1.15146,5.74029,0.35481,0.65904,0.02585,6.92495,0.94518,0.9618,0.97566,0.68926,0.66444,0.62595,0.53117,0.13426,1.01277,4.30702,0.40522,0.39348,0.03498,0,0.001406,0.001406,0.001406
8,994.584,1.11209,5.53934,0.35229,0.63328,0.02498,6.69266,0.93812,0.9703,0.965,0.72345,0.72376,0.71846,0.6201,0.16542,0.94402,3.97186,0.39595,0.36584,0.0323,0,0.001307,0.001307,0.001307
9,1117.32,1.06385,5.36467,0.34788,0.62602,0.02362,6.48475,0.94411,0.972,0.97665,0.74487,0.7361,0.71991,0.63971,0.18469,0.95572,3.96016,0.39181,0.35509,0.03242,0,0.001208,0.001208,0.001208
10,1238.81,1.04391,5.17322,0.34205,0.60311,0.02302,6.22217,0.93921,0.97989,0.97864,0.75919,0.77271,0.75044,0.68711,0.2171,0.88988,3.76117,0.38876,0.34385,0.03006,0,0.001109,0.001109,0.001109
11,1378.53,0.91025,3.95505,0.39415,0.36055,0.02825,7.04773,0.95039,0.97181,0.97709,0.77629,0.79829,0.76226,0.70475,0.22174,0.80058,3.65702,0.36242,0.32528,0.0268,0,0.00101,0.00101,0.00101
12,1504.32,0.84869,3.70527,0.37854,0.32197,0.02612,6.69031,0.94746,0.98238,0.98181,0.77413,0.83247,0.79565,0.75638,0.25708,0.82413,3.43217,0.35063,0.31109,0.02738,0,0.000911,0.000911,0.000911
13,1625.83,0.81697,3.52908,0.37367,0.30462,0.02513,6.48542,0.94851,0.98062,0.98321,0.7951,0.8472,0.81722,0.79481,0.29019,0.77638,3.27895,0.34708,0.30259,0.02591,0,0.000812,0.000812,0.000812
14,1750.03,0.75384,3.34581,0.37026,0.28111,0.02277,6.18961,0.96248,0.97902,0.98721,0.80799,0.86846,0.82965,0.81406,0.30303,0.74424,3.1999,0.34347,0.26835,0.02454,0,0.000713,0.000713,0.000713
15,1871.58,0.72067,3.17628,0.36687,0.26589,0.02169,5.94033,0.96,0.97769,0.98604,0.81559,0.87622,0.83963,0.83292,0.32584,0.69802,3.08164,0.3444,0.26324,0.023,0,0.000614,0.000614,0.000614
16,1992.59,0.68722,3.05203,0.36285,0.24926,0.02038,5.74701,0.96717,0.97534,0.98586,0.82204,0.88285,0.85144,0.83816,0.33625,0.70459,3.03875,0.34234,0.2664,0.0233,0,0.000515,0.000515,0.000515
17,2113.92,0.66158,2.93983,0.36203,0.24388,0.01972,5.58748,0.96884,0.9771,0.98503,0.82371,0.88323,0.87049,0.84738,0.34728,0.66627,2.95808,0.34251,0.25721,0.02176,0,0.000416,0.000416,0.000416
18,2234.95,0.64017,2.83934,0.36114,0.23498,0.01893,5.42278,0.968,0.97769,0.98654,0.83401,0.89325,0.86966,0.86278,0.35842,0.65376,2.889,0.33866,0.25132,0.02135,0,0.000317,0.000317,0.000317
19,2356.27,0.6159,2.76007,0.35864,0.22984,0.01824,5.28919,0.96248,0.97911,0.9853,0.83205,0.89072,0.87109,0.85952,0.36091,0.64526,2.86768,0.33959,0.25136,0.02101,0,0.000218,0.000218,0.000218
20,2477.44,0.60055,2.67511,0.35815,0.21904,0.01767,5.13055,0.96721,0.97886,0.98634,0.83495,0.89595,0.87199,0.86146,0.36709,0.6292,2.83667,0.33872,0.24312,0.02038,0,0.000119,0.000119,0.000119
