epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,318.632,1.85123,9.26283,0.57905,1.20632,0.04581,21.7101,0.80267,0.87962,0.89469,0.45969,0.03786,0.0229,0.00324,0.0004,1.6709,7.89934,0.55919,0.86341,0.06243,0,0.000665094,0.000665094,0.000665094
2,628.98,1.71355,8.13355,0.44496,1.00558,0.04133,14.8055,0.79437,0.85748,0.87567,0.43936,0.09285,0.06518,0.01341,0.00188,1.74765,7.28399,0.44006,0.91416,0.06539,0,0.00130539,0.00130539,0.00130539
3,938.335,1.69461,7.74257,0.41224,1.01981,0.04076,14.0887,0.80085,0.85026,0.85694,0.39229,0.10121,0.06988,0.01329,0.00198,1.83427,6.84463,0.48095,0.86336,0.06789,0,0.00191929,0.00191929,0.00191929
4,1247.36,1.65837,7.47713,0.38999,0.99275,0.03971,13.7333,0.85804,0.88731,0.93294,0.48913,0.24647,0.18967,0.0816,0.0126,1.67151,6.27761,0.4036,0.70958,0.06122,0,0.0018812,0.0018812,0.0018812
5,1557.6,1.58861,7.1502,0.38332,0.94331,0.03756,13.1688,0.88261,0.91897,0.94833,0.55768,0.38213,0.30417,0.19085,0.03238,1.50987,5.81326,0.40936,0.70021,0.05501,0,0.0018416,0.0018416,0.0018416
6,1868.05,1.51871,6.77456,0.37138,0.88146,0.0356,12.5191,0.91434,0.94069,0.96103,0.58509,0.37677,0.31533,0.19138,0.03403,1.40329,5.58803,0.4181,0.57082,0.05142,0,0.001802,0.001802,0.001802
7,2177.16,1.46065,6.5604,0.36366,0.85566,0.03423,12.2192,0.91183,0.94126,0.96111,0.59526,0.41672,0.35995,0.20254,0.03445,1.34125,5.40962,0.39498,0.56689,0.04817,0,0.0017624,0.0017624,0.0017624
8,2486.42,1.42839,6.37936,0.36338,0.84876,0.0333,11.9608,0.90442,0.92787,0.94749,0.5954,0.46839,0.39475,0.26273,0.05033,1.35254,5.27904,0.41969,0.60033,0.04961,0,0.0017228,0.0017228,0.0017228
9,2795.06,1.3872,6.25943,0.35775,0.81393,0.03235,11.7731,0.92311,0.93365,0.96034,0.62029,0.56589,0.50793,0.40078,0.08165,1.26124,4.88037,0.41913,0.5565,0.0453,0,0.0016832,0.0016832,0.0016832
10,3105.51,1.33798,6.08566,0.35306,0.78045,0.03087,11.5025,0.90215,0.95713,0.96284,0.61652,0.5657,0.49325,0.3967,0.09129,1.35756,4.80489,0.40573,0.55533,0.04986,0,0.0016436,0.0016436,0.0016436
