epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,447.524,2.20762,0.47144,0.64607,1.59883,0.05623,21.3662,0.41206,0.5643,0.42308,0.1158,0.62688,0.74692,0.72854,0.61647,2.86548,0.55374,0.51258,1.62375,0.11345,0,0.00066588,0.00066588,0.00066588
2,896.844,2.15676,0.43435,0.53088,2.10964,0.05355,17.3262,0.4128,0.569,0.43824,0.13558,0.53533,0.69746,0.64683,0.56218,2.17508,0.56956,0.48679,1.95385,0.08278,0,0.00128857,0.00128857,0.00128857
3,1340.72,1.97675,0.39296,0.50498,2.14335,0.04858,16.7201,0.37013,0.61891,0.39606,0.11262,0.57083,0.82208,0.71448,0.60327,2.18709,0.53729,0.53504,2.19084,0.08488,0,0.00186726,0.00186726,0.00186726
4,1783.18,1.96137,0.38606,0.50867,2.1484,0.04812,16.609,0.33261,0.70405,0.41802,0.13358,0.47161,0.87082,0.71098,0.58791,2.21545,0.49546,0.40331,2.25229,0.08409,0,0.001802,0.001802,0.001802
5,2226.59,1.86193,0.33415,0.47057,2.00081,0.04498,15.0415,0.459,0.5643,0.48172,0.18118,0.57825,0.71991,0.6761,0.61468,2.03942,0.3935,0.46096,1.86538,0.07653,0,0.001736,0.001736,0.001736
6,2666.83,1.79085,0.26816,0.44179,1.82953,0.04313,13.4759,0.5731,0.64063,0.62629,0.24249,0.68315,0.79634,0.81216,0.73925,2.10433,0.36758,0.44008,1.81372,0.08329,0,0.00167,0.00167,0.00167
7,3108.66,1.7709,0.26196,0.42975,1.72556,0.04226,12.9381,0.60801,0.71697,0.69763,0.29234,0.67495,0.82854,0.79243,0.74617,1.89267,0.29634,0.39721,1.50766,0.07037,0,0.001604,0.001604,0.001604
8,3551.7,1.74616,0.22992,0.41955,1.66269,0.04172,12.3764,0.66719,0.75396,0.75819,0.33192,0.7441,0.84087,0.86331,0.81504,1.81158,0.30986,0.38696,1.46284,0.06779,0,0.001538,0.001538,0.001538
9,3994.38,1.71688,0.22805,0.40736,1.57764,0.04087,11.688,0.73624,0.7798,0.82147,0.37527,0.76937,0.835,0.88334,0.8414,1.75793,0.28164,0.37151,1.38238,0.06558,0,0.001472,0.001472,0.001472
10,4437.22,1.69747,0.21474,0.40408,1.56992,0.04052,11.3964,0.74327,0.77804,0.8289,0.3847,0.7945,0.83998,0.89089,0.84777,1.80811,0.28267,0.40055,1.29388,0.0665,0,0.001406,0.001406,0.001406
11,4880.15,1.65801,0.18682,0.39215,1.48445,0.03911,10.4688,0.75774,0.81178,0.86094,0.43212,0.80269,0.86475,0.90807,0.87761,1.68475,0.23275,0.37513,1.22904,0.06215,0,0.00134,0.00134,0.00134
12,5323.55,1.64608,0.1761,0.38392,1.42995,0.03896,10.3254,0.78398,0.84179,0.88406,0.44825,0.8182,0.89323,0.92699,0.89449,1.63159,0.22977,0.39206,1.14244,0.0598,0,0.001274,0.001274,0.001274
